id,x,y,z,region,family,speed,ref_reachable,ref_temporal,ref_best,triad_completePlans,triad_admissible,triad_committed,triad_completed,triad_outcome,classification
H001,0.5,-0.3,0.35,interior,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00944, 'tmin': 1.723, 'temporal': True, 'margin': 4.877}",78,3,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H002,0.5,-0.3,0.35,interior,plus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00504, 'tmin': 1.495, 'temporal': True, 'margin': 5.105}",26,25,True,False,B_PLAN_FOUND_BUT_EXECUTION_FAILED,R5_REFERENCE_FEASIBLE_TRIAD_EXECUTION_FAIL
H003,0.5,-0.3,0.35,interior,minus_y,0.08,yes,yes,"{'lead': 7.2, 'err': 0.00833, 'tmin': 1.1, 'temporal': True, 'margin': 4.7}",179,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H004,0.5,-0.3,0.35,interior,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00488, 'tmin': 0.96, 'temporal': True, 'margin': 5.64}",115,17,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H005,0.5,0.0,0.35,interior,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00689, 'tmin': 1.834, 'temporal': True, 'margin': 4.766}",28,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H006,0.5,0.0,0.35,interior,plus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00487, 'tmin': 1.653, 'temporal': True, 'margin': 4.947}",192,147,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H007,0.5,0.0,0.35,interior,minus_y,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00412, 'tmin': 1.895, 'temporal': True, 'margin': 4.705}",311,194,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H008,0.5,0.0,0.35,interior,diag_xz,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00483, 'tmin': 1.068, 'temporal': True, 'margin': 5.532}",66,0,False,False,D_NO_TIMING_ADMISSIBLE_PLAN,R3_REFERENCE_FEASIBLE_TRIAD_TIMING_REJECT
H009,0.5,0.3,0.35,interior,minus_x,0.08,yes,yes,"{'lead': 8.0, 'err': 0.00461, 'tmin': 1.708, 'temporal': True, 'margin': 4.892}",8,6,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
H010,0.5,0.3,0.35,interior,plus_y,0.08,yes,yes,"{'lead': 7.0, 'err': 0.00886, 'tmin': 1.444, 'temporal': True, 'margin': 4.156}",229,69,True,True,A_PLAN_FOUND_AND_COMPLETED,R1_REFERENCE_FEASIBLE_TRIAD_SUCCESS
