id,x,y,z,vx,vy,vz,speed,family,rr,rp,ry,region,note
H001,0.5,-0.3,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H002,0.5,-0.3,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H003,0.5,-0.3,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H004,0.5,-0.3,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H005,0.5,0.0,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H006,0.5,0.0,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H007,0.5,0.0,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H008,0.5,0.0,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H009,0.5,0.3,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H010,0.5,0.3,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H011,0.5,0.3,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H012,0.5,0.3,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H013,0.65,-0.3,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H014,0.65,-0.3,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H015,0.65,-0.3,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H016,0.65,-0.3,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H017,0.65,0.0,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H018,0.65,0.0,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H019,0.65,0.0,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H020,0.65,0.0,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H021,0.65,0.3,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,interior,
H022,0.65,0.3,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,interior,
H023,0.65,0.3,0.35,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,interior,
H024,0.65,0.3,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,interior,
H025,0.6,-0.2,0.2,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,height_sweep,
H026,0.6,-0.2,0.2,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,height_sweep,
H027,0.6,-0.2,0.2,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,height_sweep,
H028,0.6,-0.2,0.35,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,height_sweep,
H029,0.6,-0.2,0.35,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,height_sweep,
H030,0.6,-0.2,0.35,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,height_sweep,
H031,0.6,-0.2,0.5,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,height_sweep,
H032,0.6,-0.2,0.5,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,height_sweep,
H033,0.6,-0.2,0.5,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,height_sweep,
H034,0.58,0.25,0.3,-0.05,0.0,0.0,0.05,minus_x,0.0,1.5708,0.0,speed_sweep,
H035,0.58,0.25,0.3,0.0,-0.05,0.0,0.05,minus_y,0.0,1.5708,0.0,speed_sweep,
H036,0.58,0.25,0.3,-0.035355,0.0,0.035355,0.05,diag_xz,0.0,1.5708,0.0,speed_sweep,
H037,0.58,0.25,0.3,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,speed_sweep,
H038,0.58,0.25,0.3,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,speed_sweep,
H039,0.58,0.25,0.3,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,speed_sweep,
H040,0.58,0.25,0.3,-0.11,0.0,0.0,0.11,minus_x,0.0,1.5708,0.0,speed_sweep,
H041,0.58,0.25,0.3,0.0,-0.11,0.0,0.11,minus_y,0.0,1.5708,0.0,speed_sweep,
H042,0.58,0.25,0.3,-0.077781,0.0,0.077781,0.11,diag_xz,0.0,1.5708,0.0,speed_sweep,
H043,0.45,-0.5,0.25,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,lateral,
H044,0.45,-0.5,0.25,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,lateral,
H045,0.45,-0.5,0.25,-0.056568,0.056568,0.0,0.08,diag_xy,0.0,1.5708,0.0,lateral,
H046,0.45,0.5,0.25,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,lateral,
H047,0.45,0.5,0.25,0.0,0.08,0.0,0.08,plus_y,0.0,1.5708,0.0,lateral,
H048,0.45,0.5,0.25,-0.056568,0.056568,0.0,0.08,diag_xy,0.0,1.5708,0.0,lateral,
H049,0.35,0.1,0.4,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,longitudinal,
H050,0.35,0.1,0.4,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,longitudinal,
H051,0.35,0.1,0.4,-0.056568,0.0,0.056568,0.08,diag_xz,0.0,1.5708,0.0,longitudinal,
H052,0.82,0.1,0.4,-0.08,0.0,0.0,0.08,minus_x,0.0,1.5708,0.0,longitudinal,
H053,0.82,0.1,0.4,0.0,-0.08,0.0,0.08,minus_y,0.0,1.5708,0.0,longitudinal,
