id,anchor_id,anchor_tag,pert,x,y,z,vx,vy,vz,rr,rp,ry
H001_nominal,H001,interior,nominal,0.5,-0.3,0.35,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_x_plus_20mm,H001,interior,x_plus_20mm,0.52,-0.3,0.35,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_x_minus_20mm,H001,interior,x_minus_20mm,0.48,-0.3,0.35,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_y_plus_20mm,H001,interior,y_plus_20mm,0.5,-0.28,0.35,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_y_minus_20mm,H001,interior,y_minus_20mm,0.5,-0.32,0.35,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_z_plus_20mm,H001,interior,z_plus_20mm,0.5,-0.3,0.37,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_z_minus_20mm,H001,interior,z_minus_20mm,0.5,-0.3,0.33,-0.08,0.0,0.0,0.0,1.5708,0.0
H001_speed_plus,H001,interior,speed_plus,0.5,-0.3,0.35,-0.1,0.0,0.0,0.0,1.5708,0.0
H001_speed_minus,H001,interior,speed_minus,0.5,-0.3,0.35,-0.06,0.0,0.0,0.0,1.5708,0.0
H001_dir_plus10,H001,interior,dir_plus10,0.5,-0.3,0.35,-0.078785,-0.013892,0.0,0.0,1.5708,0.0
H001_combo_x40_spd,H001,interior,combo_x40_spd,0.54,-0.3,0.35,-0.1,0.0,0.0,0.0,1.5708,0.0
H002_nominal,H002,interior,nominal,0.5,-0.3,0.35,0.0,0.08,0.0,0.0,1.5708,0.0
H002_x_plus_20mm,H002,interior,x_plus_20mm,0.52,-0.3,0.35,0.0,0.08,0.0,0.0,1.5708,0.0
H002_x_minus_20mm,H002,interior,x_minus_20mm,0.48,-0.3,0.35,0.0,0.08,0.0,0.0,1.5708,0.0
H002_y_plus_20mm,H002,interior,y_plus_20mm,0.5,-0.28,0.35,0.0,0.08,0.0,0.0,1.5708,0.0
H002_y_minus_20mm,H002,interior,y_minus_20mm,0.5,-0.32,0.35,0.0,0.08,0.0,0.0,1.5708,0.0
H002_z_plus_20mm,H002,interior,z_plus_20mm,0.5,-0.3,0.37,0.0,0.08,0.0,0.0,1.5708,0.0
H002_z_minus_20mm,H002,interior,z_minus_20mm,0.5,-0.3,0.33,0.0,0.08,0.0,0.0,1.5708,0.0
H002_speed_plus,H002,interior,speed_plus,0.5,-0.3,0.35,0.0,0.1,0.0,0.0,1.5708,0.0
H002_speed_minus,H002,interior,speed_minus,0.5,-0.3,0.35,0.0,0.06,0.0,0.0,1.5708,0.0
H002_dir_plus10,H002,interior,dir_plus10,0.5,-0.3,0.35,-0.013892,0.078785,0.0,0.0,1.5708,0.0
H002_combo_x40_spd,H002,interior,combo_x40_spd,0.54,-0.3,0.35,0.0,0.1,0.0,0.0,1.5708,0.0
H059_nominal,H059,low_height,nominal,0.55,0.35,0.18,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_x_plus_20mm,H059,low_height,x_plus_20mm,0.57,0.35,0.18,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_x_minus_20mm,H059,low_height,x_minus_20mm,0.53,0.35,0.18,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_y_plus_20mm,H059,low_height,y_plus_20mm,0.55,0.37,0.18,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_y_minus_20mm,H059,low_height,y_minus_20mm,0.55,0.33,0.18,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_z_plus_20mm,H059,low_height,z_plus_20mm,0.55,0.35,0.2,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_z_minus_20mm,H059,low_height,z_minus_20mm,0.55,0.35,0.16,-0.08,0.0,0.0,0.0,1.5708,0.0
H059_speed_plus,H059,low_height,speed_plus,0.55,0.35,0.18,-0.1,0.0,0.0,0.0,1.5708,0.0
H059_speed_minus,H059,low_height,speed_minus,0.55,0.35,0.18,-0.06,0.0,0.0,0.0,1.5708,0.0
H059_dir_plus10,H059,low_height,dir_plus10,0.55,0.35,0.18,-0.078785,-0.013892,0.0,0.0,1.5708,0.0
H059_combo_x40_spd,H059,low_height,combo_x40_spd,0.59,0.35,0.18,-0.1,0.0,0.0,0.0,1.5708,0.0
H043_nominal,H043,lateral_neg_y,nominal,0.45,-0.5,0.25,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_x_plus_20mm,H043,lateral_neg_y,x_plus_20mm,0.47,-0.5,0.25,-0.08,0.0,0.0,0.0,1.5708,0.0
H043_x_minus_20mm,H043,lateral_neg_y,x_minus_20mm,0.43,-0.5,0.25,-0.08,0.0,0.0,0.0,1.5708,0.0
