t,Executor_Main,dual_giver_phase,dual_giver_speed,dual_giver_tracking_error,object_x,object_y,object_z,planned_object_x,planned_object_y,planned_object_z,object_agreement
0.000,Initial,1,0.0000000,0.0000000,0.92000,0.00000,0.55000,0.73777,-0.00199,0.43370,0.21619
0.020,Initial,1,0.0000608,0.0000001,0.73777,-0.00199,0.43370,0.73777,-0.00199,0.43370,0.00000
0.040,Initial,1,0.0003310,0.0000004,0.73778,-0.00199,0.43370,0.73778,-0.00199,0.43370,0.00000
0.060,Initial,1,0.0008382,0.0000009,0.73779,-0.00199,0.43371,0.73779,-0.00199,0.43371,0.00000
0.080,Initial,1,0.0015765,0.0000018,0.73782,-0.00199,0.43372,0.73782,-0.00199,0.43373,0.00000
0.100,Initial,1,0.0025357,0.0000029,0.73786,-0.00199,0.43375,0.73786,-0.00199,0.43375,0.00000
0.120,Initial,1,0.0037056,0.0000044,0.73792,-0.00199,0.43379,0.73792,-0.00199,0.43379,0.00000
0.140,Initial,1,0.0050757,0.0000063,0.73800,-0.00199,0.43384,0.73801,-0.00199,0.43384,0.00001
0.160,Initial,1,0.0066356,0.0000085,0.73811,-0.00198,0.43391,0.73812,-0.00198,0.43391,0.00001
0.180,Initial,1,0.0083752,0.0000111,0.73825,-0.00198,0.43400,0.73826,-0.00198,0.43400,0.00001
0.200,Initial,1,0.0102845,0.0000140,0.73842,-0.00198,0.43411,0.73843,-0.00198,0.43411,0.00001
0.220,Initial,1,0.0123533,0.0000173,0.73863,-0.00198,0.43424,0.73864,-0.00198,0.43424,0.00001
0.240,Initial,1,0.0145720,0.0000209,0.73887,-0.00198,0.43439,0.73889,-0.00198,0.43440,0.00002
0.260,Initial,1,0.0169308,0.0000248,0.73916,-0.00197,0.43457,0.73917,-0.00197,0.43458,0.00002
0.280,Initial,1,0.0194202,0.0000290,0.73948,-0.00197,0.43478,0.73950,-0.00197,0.43479,0.00002
0.300,Initial,1,0.0220308,0.0000335,0.73985,-0.00197,0.43501,0.73987,-0.00197,0.43502,0.00002
0.320,Initial,1,0.0247534,0.0000382,0.74026,-0.00196,0.43527,0.74029,-0.00196,0.43529,0.00003
0.340,Initial,1,0.0275788,0.0000432,0.74073,-0.00196,0.43557,0.74075,-0.00196,0.43558,0.00003
0.360,Initial,1,0.0304983,0.0000484,0.74124,-0.00195,0.43589,0.74126,-0.00195,0.43591,0.00003
0.380,Initial,1,0.0335030,0.0000538,0.74180,-0.00195,0.43625,0.74183,-0.00194,0.43627,0.00003
0.400,Initial,1,0.0365844,0.0000594,0.74241,-0.00194,0.43664,0.74244,-0.00194,0.43666,0.00004
0.420,Initial,1,0.0397340,0.0000652,0.74308,-0.00193,0.43706,0.74311,-0.00193,0.43708,0.00004
0.440,Initial,1,0.0429437,0.0000712,0.74380,-0.00192,0.43752,0.74384,-0.00192,0.43754,0.00004
0.460,Initial,1,0.0462052,0.0000774,0.74458,-0.00192,0.43801,0.74462,-0.00192,0.43804,0.00005
0.480,Initial,1,0.0495108,0.0000837,0.74541,-0.00191,0.43854,0.74545,-0.00191,0.43857,0.00005
0.500,Initial,1,0.0528528,0.0000901,0.74630,-0.00190,0.43910,0.74634,-0.00190,0.43913,0.00005
0.520,Initial,1,0.0562234,0.0000967,0.74724,-0.00189,0.43970,0.74729,-0.00189,0.43973,0.00006
0.540,Initial,1,0.0596154,0.0001035,0.74824,-0.00188,0.44034,0.74829,-0.00188,0.44037,0.00006
0.560,Initial,1,0.0630215,0.0001103,0.74930,-0.00186,0.44101,0.74936,-0.00186,0.44105,0.00006
0.580,Initial,1,0.0664348,0.0001173,0.75042,-0.00185,0.44172,0.75048,-0.00185,0.44176,0.00007
0.600,Initial,1,0.0698483,0.0001244,0.75159,-0.00184,0.44247,0.75165,-0.00184,0.44251,0.00007
0.620,Initial,1,0.0732553,0.0001316,0.75283,-0.00183,0.44325,0.75289,-0.00183,0.44329,0.00007
0.640,Initial,1,0.0766494,0.0001389,0.75412,-0.00181,0.44407,0.75418,-0.00181,0.44411,0.00008
0.660,Initial,1,0.0800242,0.0001463,0.75546,-0.00180,0.44492,0.75553,-0.00180,0.44497,0.00008
0.680,Initial,1,0.0833735,0.0001538,0.75687,-0.00178,0.44582,0.75694,-0.00178,0.44586,0.00008
0.700,Initial,1,0.0866913,0.0001614,0.75833,-0.00177,0.44674,0.75840,-0.00177,0.44679,0.00009
0.720,Initial,1,0.0899719,0.0001692,0.75984,-0.00175,0.44770,0.75992,-0.00175,0.44775,0.00009
0.740,Initial,1,0.0932096,0.0001770,0.76141,-0.00174,0.44870,0.76149,-0.00173,0.44875,0.00009
0.760,Initial,1,0.0963989,0.0001849,0.76303,-0.00172,0.44973,0.76312,-0.00172,0.44978,0.00010
0.780,Initial,1,0.0995345,0.0001930,0.76471,-0.00170,0.45080,0.76479,-0.00170,0.45085,0.00010
0.800,Initial,1,0.1026114,0.0002012,0.76644,-0.00168,0.45189,0.76653,-0.00168,0.45195,0.00010
0.820,Initial,1,0.1056245,0.0002094,0.76822,-0.00166,0.45303,0.76831,-0.00166,0.45308,0.00011
0.840,Initial,1,0.1085692,0.0002178,0.77005,-0.00164,0.45419,0.77014,-0.00164,0.45425,0.00011
0.860,Initial,1,0.1114408,0.0002263,0.77192,-0.00162,0.45538,0.77202,-0.00162,0.45544,0.00011
0.880,Initial,1,0.1142349,0.0002349,0.77385,-0.00160,0.45660,0.77395,-0.00160,0.45666,0.00012
0.900,Initial,1,0.1169474,0.0002436,0.77582,-0.00158,0.45785,0.77592,-0.00158,0.45792,0.00012
0.920,Initial,1,0.1195741,0.0002524,0.77784,-0.00156,0.45913,0.77794,-0.00156,0.45920,0.00012
0.940,Initial,1,0.1221112,0.0002613,0.77990,-0.00154,0.46044,0.78000,-0.00154,0.46051,0.00012
